Frequency (Hz),Magnitude
0.00,4451.01
0.01,17.04
0.01,12.69
0.02,27.24
0.02,20.41
0.03,7.06
0.03,11.41
0.04,9.93
0.04,3.36
0.05,5.89
0.06,2.38
0.06,3.09
0.07,3.72
0.07,1.83
0.08,3.73
0.08,3.72
0.09,2.89
0.09,3.32
0.10,0.94
0.11,1.68
0.11,2.08
0.12,1.72
0.12,2.60
0.13,1.78
0.13,1.77
0.14,1.14
0.14,0.73
0.15,1.72
0.16,1.83
0.16,1.82
0.17,1.67
0.17,1.02
0.18,1.01
0.18,1.36
0.19,1.11
0.19,1.55
0.20,0.97
0.21,0.97
0.21,1.11
0.22,1.24
0.22,1.51
0.23,1.49
0.23,0.97
0.24,0.48
0.24,0.31
0.25,0.57
0.26,0.96
0.26,1.14
0.27,1.32
0.27,1.17
0.28,0.74
0.28,0.88
0.29,0.92
0.29,0.88
0.30,0.54
0.31,0.46
0.31,0.57
0.32,0.62
0.32,0.82
0.33,1.15
0.33,1.12
0.34,0.61
0.34,0.40
0.35,0.81
0.36,0.72
0.36,0.85
0.37,0.94
0.37,0.64
0.38,0.61
0.38,0.36
0.39,0.76
0.39,0.98
0.40,0.75
0.41,0.77
0.41,0.76
0.42,0.51
0.42,0.70
0.43,0.94
0.43,0.82
0.44,0.47
0.44,0.36
0.45,0.62
0.46,0.58
0.46,0.71
0.47,1.10
0.47,0.91
0.48,0.53
0.48,0.41
0.49,0.60
0.49,0.76
0.50,0.50
0.51,0.76
0.51,0.61
0.52,0.41
0.52,0.53
0.53,0.91
0.53,1.11
0.54,0.71
0.54,0.58
0.55,0.62
0.56,0.35
0.56,0.47
0.57,0.82
0.57,0.94
0.58,0.71
0.58,0.51
0.59,0.76
0.59,0.77
0.60,0.75
0.61,0.99
0.61,0.76
0.62,0.36
0.62,0.61
0.63,0.64
0.63,0.94
0.64,0.85
0.64,0.72
0.65,0.81
0.66,0.40
0.66,0.61
0.67,1.12
0.67,1.15
0.68,0.82
0.68,0.62
0.69,0.57
0.69,0.45
0.70,0.54
0.71,0.88
0.71,0.91
0.72,0.87
0.72,0.73
0.73,1.17
0.73,1.32
0.74,1.14
0.74,0.96
0.75,0.58
0.76,0.31
0.76,0.48
0.77,0.97
0.77,1.49
0.78,1.51
0.78,1.24
0.79,1.11
0.79,0.97
0.80,0.97
0.81,1.56
0.81,1.11
0.82,1.37
0.82,1.01
0.83,1.03
0.83,1.68
0.84,1.82
0.84,1.82
0.85,1.72
0.86,0.72
0.86,1.14
0.87,1.77
0.87,1.78
0.88,2.60
0.88,1.72
0.89,2.07
0.89,1.68
0.90,0.94
0.91,3.33
0.91,2.88
0.92,3.72
0.92,3.73
0.93,1.83
0.93,3.72
0.94,3.10
0.94,2.40
0.95,5.89
0.96,3.36
0.96,9.93
0.97,11.41
0.97,7.07
0.98,20.40
0.98,27.25
0.99,12.68
0.99,17.04